GeneName	Description	Process	Comment
NDUFA8	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFB11	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFV3	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
CISD1	This gene encodes a protein with a CDGSH iron-sulfur domain and has been shown to bind a redox-active [2Fe-2S] cluster. The encoded protein has been localized to the outer membrane of mitochondria and is thought to play a role in regulation of oxidation. Genes encoding similar proteins are located on chromosomes 4 and 17, and a pseudogene of this gene is located on chromosome 2. [provided by RefSeq, Feb 2012],	Oxidative Phosphorylation	present in both datasets 
SCO1	Thought to play a role in cellular copper homeostasis, mitochondrial redox signaling or insertion of copper into the active site of COX	Oxidative Phosphorylation	present in both datasets 
UQCRB	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This component is involved in redox-linked proton pumping	Oxidative Phosphorylation	present in both datasets 
COX6A2	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
NDUFAB1	Carrier of the growing fatty acid chain in fatty acid biosynthesis in mitochondria. Accessory and non-catalytic subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), which functions in the transfer of electrons from NADH to the respiratory chain (By similarity)	Oxidative Phosphorylation	present in both datasets 
COA5	This gene encodes an ortholog of yeast Pet191, which in yeast is a subunit of a large oligomeric complex associated with the mitochondrial inner membrane, and required for the assembly of the cytochrome c oxidase complex. Mutations in this gene are associated with mitochondrial complex IV deficiency, a disorder of the mitochondrial respiratory chain with heterogeneous clinical manifestations, ranging from isolated myopathy to a severe disease affecting several tissues and organs. [provided by RefSeq, Dec 2011],	Oxidative Phosphorylation	present in both datasets 
NDUFS3	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
COX16	miscellaneous:No COX16 mutations have been detected in patients with cytochrome c oxidase (COX) deficiencysimilarity:Belongs to the COX16 family	Oxidative Phosphorylation	present in both datasets 
NDUFB7	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
SCO2	Acts as a copper chaperone, transporting copper to the Cu(A) site on the cytochrome c oxidase subunit II (COX2)	Oxidative Phosphorylation	present in both datasets 
COX8A	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
COX10	Converts protoheme IX and farnesyl diphosphate to heme O (By similarity)	Oxidative Phosphorylation	present in both datasets 
TMEM70	This gene likely encodes a mitochondrial membrane protein. The encoded protein may play a role in biogenesis of mitochondrial ATP synthase. Mutations in this gene have been associated with neonatal mitochondrial encephalocardiomyopathy due to ATP synthase deficiency. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2010],	Oxidative Phosphorylation	present in both datasets 
NDUFC1	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFA3	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFAF6	Required for the function of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I)	Oxidative Phosphorylation	present in both datasets 
NDUFB3	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
PTCD2	caution:It is uncertain whether Met-1 or Met-6 is the initiatorsimilarity:Belongs to the PTCD2 familysimilarity:Contains 1 PPR (pentatricopeptide) repeat	Oxidative Phosphorylation	present in both datasets 
NDUFA13	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes	Oxidative Phosphorylation	present in both datasets 
NDUFA4	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFAF7	This gene encodes an assembly factor protein which helps in the assembly and stabilization of Complex I, a large multi-subunit enzyme in the mitochondrial respiratory chain. Complex I is involved in several physiological activities in the cell, including metabolite transport and ATP synthesis. The encoded protein is a methyltransferase which methylates Arg85 of a subunit of Complex I in the early stages of its assembly. A pseudogene related to this gene is located on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016],	Oxidative Phosphorylation	present in both datasets 
COX7B	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
NDUFA11	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
